product_id,offer_id,decision_state,target_fields,excluded_fields,fresh_missing_required_attrs,current_target_field_presence,current_availability_present,availability_note,api_risk_note,blocked_reason,write_allowed_now
online:pt:BR:1182A660001,1182A660001,ready_for_4field_apply_if_lucas_approves,title;link;imageLink;price,availability,age group;availability;gender;size,"{""title"": true, ""link"": true, ""imageLink"": true, ""price"": true}",False,availability still missing but intentionally excluded by Lucas option 1 / Tiny stock-truth policy,Direct Content API products.update may reject or keep disapproved rows because availability remains missing; executor is fail-fast and no apply is authorized by dry-run.,,
online:pt:BR:1182A660002,1182A660002,ready_for_4field_apply_if_lucas_approves,title;link;imageLink;price,availability,age group;availability;gender;size,"{""title"": true, ""link"": true, ""imageLink"": true, ""price"": true}",False,availability still missing but intentionally excluded by Lucas option 1 / Tiny stock-truth policy,Direct Content API products.update may reject or keep disapproved rows because availability remains missing; executor is fail-fast and no apply is authorized by dry-run.,,
online:pt:BR:1182A660003,1182A660003,ready_for_4field_apply_if_lucas_approves,title;link;imageLink;price,availability,age group;availability;gender;size,"{""title"": true, ""link"": true, ""imageLink"": true, ""price"": true}",False,availability still missing but intentionally excluded by Lucas option 1 / Tiny stock-truth policy,Direct Content API products.update may reject or keep disapproved rows because availability remains missing; executor is fail-fast and no apply is authorized by dry-run.,,
online:pt:BR:1182A660004,1182A660004,ready_for_4field_apply_if_lucas_approves,title;link;imageLink;price,availability,age group;availability;gender;size,"{""title"": true, ""link"": true, ""imageLink"": true, ""price"": true}",False,availability still missing but intentionally excluded by Lucas option 1 / Tiny stock-truth policy,Direct Content API products.update may reject or keep disapproved rows because availability remains missing; executor is fail-fast and no apply is authorized by dry-run.,,
online:pt:BR:1182A660005,1182A660005,ready_for_4field_apply_if_lucas_approves,title;link;imageLink;price,availability,age group;availability;gender;size,"{""title"": true, ""link"": true, ""imageLink"": true, ""price"": true}",False,availability still missing but intentionally excluded by Lucas option 1 / Tiny stock-truth policy,Direct Content API products.update may reject or keep disapproved rows because availability remains missing; executor is fail-fast and no apply is authorized by dry-run.,,
online:pt:BR:1182A660006,1182A660006,ready_for_4field_apply_if_lucas_approves,title;link;imageLink;price,availability,age group;availability;gender;size,"{""title"": true, ""link"": true, ""imageLink"": true, ""price"": true}",False,availability still missing but intentionally excluded by Lucas option 1 / Tiny stock-truth policy,Direct Content API products.update may reject or keep disapproved rows because availability remains missing; executor is fail-fast and no apply is authorized by dry-run.,,
online:pt:BR:1182A677.001-1,1182A677.001-1,ready_for_4field_apply_if_lucas_approves,title;link;imageLink;price,availability,age group;availability;gender;size,"{""title"": true, ""link"": true, ""imageLink"": true, ""price"": true}",False,availability still missing but intentionally excluded by Lucas option 1 / Tiny stock-truth policy,Direct Content API products.update may reject or keep disapproved rows because availability remains missing; executor is fail-fast and no apply is authorized by dry-run.,,
online:pt:BR:1182A677.001-10,1182A677.001-10,ready_for_4field_apply_if_lucas_approves,title;link;imageLink;price,availability,age group;availability;gender;size,"{""title"": true, ""link"": true, ""imageLink"": true, ""price"": true}",False,availability still missing but intentionally excluded by Lucas option 1 / Tiny stock-truth policy,Direct Content API products.update may reject or keep disapproved rows because availability remains missing; executor is fail-fast and no apply is authorized by dry-run.,,
online:pt:BR:1182A677.001-11,1182A677.001-11,ready_for_4field_apply_if_lucas_approves,title;link;imageLink;price,availability,age group;availability;gender;size,"{""title"": true, ""link"": true, ""imageLink"": true, ""price"": true}",False,availability still missing but intentionally excluded by Lucas option 1 / Tiny stock-truth policy,Direct Content API products.update may reject or keep disapproved rows because availability remains missing; executor is fail-fast and no apply is authorized by dry-run.,,
online:pt:BR:1182A677.001-12,1182A677.001-12,ready_for_4field_apply_if_lucas_approves,title;link;imageLink;price,availability,age group;availability;gender;size,"{""title"": true, ""link"": true, ""imageLink"": true, ""price"": true}",False,availability still missing but intentionally excluded by Lucas option 1 / Tiny stock-truth policy,Direct Content API products.update may reject or keep disapproved rows because availability remains missing; executor is fail-fast and no apply is authorized by dry-run.,,
online:pt:BR:1182A677.001-2,1182A677.001-2,ready_for_4field_apply_if_lucas_approves,title;link;imageLink;price,availability,age group;availability;gender;size,"{""title"": true, ""link"": true, ""imageLink"": true, ""price"": true}",False,availability still missing but intentionally excluded by Lucas option 1 / Tiny stock-truth policy,Direct Content API products.update may reject or keep disapproved rows because availability remains missing; executor is fail-fast and no apply is authorized by dry-run.,,
online:pt:BR:1182A677.001-3,1182A677.001-3,ready_for_4field_apply_if_lucas_approves,title;link;imageLink;price,availability,age group;availability;gender;size,"{""title"": true, ""link"": true, ""imageLink"": true, ""price"": true}",False,availability still missing but intentionally excluded by Lucas option 1 / Tiny stock-truth policy,Direct Content API products.update may reject or keep disapproved rows because availability remains missing; executor is fail-fast and no apply is authorized by dry-run.,,
online:pt:BR:1182A677.001-4,1182A677.001-4,ready_for_4field_apply_if_lucas_approves,title;link;imageLink;price,availability,age group;availability;gender;size,"{""title"": true, ""link"": true, ""imageLink"": true, ""price"": true}",False,availability still missing but intentionally excluded by Lucas option 1 / Tiny stock-truth policy,Direct Content API products.update may reject or keep disapproved rows because availability remains missing; executor is fail-fast and no apply is authorized by dry-run.,,
online:pt:BR:1182A677.001-5,1182A677.001-5,ready_for_4field_apply_if_lucas_approves,title;link;imageLink;price,availability,age group;availability;gender;size,"{""title"": true, ""link"": true, ""imageLink"": true, ""price"": true}",False,availability still missing but intentionally excluded by Lucas option 1 / Tiny stock-truth policy,Direct Content API products.update may reject or keep disapproved rows because availability remains missing; executor is fail-fast and no apply is authorized by dry-run.,,
online:pt:BR:1182A677.001-6,1182A677.001-6,ready_for_4field_apply_if_lucas_approves,title;link;imageLink;price,availability,age group;availability;gender;size,"{""title"": true, ""link"": true, ""imageLink"": true, ""price"": true}",False,availability still missing but intentionally excluded by Lucas option 1 / Tiny stock-truth policy,Direct Content API products.update may reject or keep disapproved rows because availability remains missing; executor is fail-fast and no apply is authorized by dry-run.,,
online:pt:BR:1182A677.001-7,1182A677.001-7,ready_for_4field_apply_if_lucas_approves,title;link;imageLink;price,availability,age group;availability;gender;size,"{""title"": true, ""link"": true, ""imageLink"": true, ""price"": true}",False,availability still missing but intentionally excluded by Lucas option 1 / Tiny stock-truth policy,Direct Content API products.update may reject or keep disapproved rows because availability remains missing; executor is fail-fast and no apply is authorized by dry-run.,,
online:pt:BR:1182A677.001-8,1182A677.001-8,ready_for_4field_apply_if_lucas_approves,title;link;imageLink;price,availability,age group;availability;gender;size,"{""title"": true, ""link"": true, ""imageLink"": true, ""price"": true}",False,availability still missing but intentionally excluded by Lucas option 1 / Tiny stock-truth policy,Direct Content API products.update may reject or keep disapproved rows because availability remains missing; executor is fail-fast and no apply is authorized by dry-run.,,
online:pt:BR:1182A677.001-9,1182A677.001-9,ready_for_4field_apply_if_lucas_approves,title;link;imageLink;price,availability,age group;availability;gender;size,"{""title"": true, ""link"": true, ""imageLink"": true, ""price"": true}",False,availability still missing but intentionally excluded by Lucas option 1 / Tiny stock-truth policy,Direct Content API products.update may reject or keep disapproved rows because availability remains missing; executor is fail-fast and no apply is authorized by dry-run.,,
online:pt:BR:1182A678.700-1,1182A678.700-1,ready_for_4field_apply_if_lucas_approves,title;link;imageLink;price,availability,age group;availability;gender;size,"{""title"": true, ""link"": true, ""imageLink"": true, ""price"": true}",False,availability still missing but intentionally excluded by Lucas option 1 / Tiny stock-truth policy,Direct Content API products.update may reject or keep disapproved rows because availability remains missing; executor is fail-fast and no apply is authorized by dry-run.,,
online:pt:BR:1182A678.700-10,1182A678.700-10,ready_for_4field_apply_if_lucas_approves,title;link;imageLink;price,availability,age group;availability;gender;size,"{""title"": true, ""link"": true, ""imageLink"": true, ""price"": true}",False,availability still missing but intentionally excluded by Lucas option 1 / Tiny stock-truth policy,Direct Content API products.update may reject or keep disapproved rows because availability remains missing; executor is fail-fast and no apply is authorized by dry-run.,,
online:pt:BR:1182A678.700-11,1182A678.700-11,ready_for_4field_apply_if_lucas_approves,title;link;imageLink;price,availability,age group;availability;gender;size,"{""title"": true, ""link"": true, ""imageLink"": true, ""price"": true}",False,availability still missing but intentionally excluded by Lucas option 1 / Tiny stock-truth policy,Direct Content API products.update may reject or keep disapproved rows because availability remains missing; executor is fail-fast and no apply is authorized by dry-run.,,
online:pt:BR:1182A678.700-12,1182A678.700-12,ready_for_4field_apply_if_lucas_approves,title;link;imageLink;price,availability,age group;availability;gender;size,"{""title"": true, ""link"": true, ""imageLink"": true, ""price"": true}",False,availability still missing but intentionally excluded by Lucas option 1 / Tiny stock-truth policy,Direct Content API products.update may reject or keep disapproved rows because availability remains missing; executor is fail-fast and no apply is authorized by dry-run.,,
online:pt:BR:1182A678.700-2,1182A678.700-2,ready_for_4field_apply_if_lucas_approves,title;link;imageLink;price,availability,age group;availability;gender;size,"{""title"": true, ""link"": true, ""imageLink"": true, ""price"": true}",False,availability still missing but intentionally excluded by Lucas option 1 / Tiny stock-truth policy,Direct Content API products.update may reject or keep disapproved rows because availability remains missing; executor is fail-fast and no apply is authorized by dry-run.,,
online:pt:BR:1182A678.700-3,1182A678.700-3,ready_for_4field_apply_if_lucas_approves,title;link;imageLink;price,availability,age group;availability;gender;size,"{""title"": true, ""link"": true, ""imageLink"": true, ""price"": true}",False,availability still missing but intentionally excluded by Lucas option 1 / Tiny stock-truth policy,Direct Content API products.update may reject or keep disapproved rows because availability remains missing; executor is fail-fast and no apply is authorized by dry-run.,,
online:pt:BR:1182A678.700-4,1182A678.700-4,ready_for_4field_apply_if_lucas_approves,title;link;imageLink;price,availability,age group;availability;gender;size,"{""title"": true, ""link"": true, ""imageLink"": true, ""price"": true}",False,availability still missing but intentionally excluded by Lucas option 1 / Tiny stock-truth policy,Direct Content API products.update may reject or keep disapproved rows because availability remains missing; executor is fail-fast and no apply is authorized by dry-run.,,
online:pt:BR:1182A678.700-5,1182A678.700-5,ready_for_4field_apply_if_lucas_approves,title;link;imageLink;price,availability,age group;availability;gender;size,"{""title"": true, ""link"": true, ""imageLink"": true, ""price"": true}",False,availability still missing but intentionally excluded by Lucas option 1 / Tiny stock-truth policy,Direct Content API products.update may reject or keep disapproved rows because availability remains missing; executor is fail-fast and no apply is authorized by dry-run.,,
online:pt:BR:1182A678.700-6,1182A678.700-6,ready_for_4field_apply_if_lucas_approves,title;link;imageLink;price,availability,age group;availability;gender;size,"{""title"": true, ""link"": true, ""imageLink"": true, ""price"": true}",False,availability still missing but intentionally excluded by Lucas option 1 / Tiny stock-truth policy,Direct Content API products.update may reject or keep disapproved rows because availability remains missing; executor is fail-fast and no apply is authorized by dry-run.,,
online:pt:BR:1182A678.700-7,1182A678.700-7,ready_for_4field_apply_if_lucas_approves,title;link;imageLink;price,availability,availability,"{""title"": true, ""link"": true, ""imageLink"": true, ""price"": true}",False,availability still missing but intentionally excluded by Lucas option 1 / Tiny stock-truth policy,Direct Content API products.update may reject or keep disapproved rows because availability remains missing; executor is fail-fast and no apply is authorized by dry-run.,,
online:pt:BR:1182A678.700-8,1182A678.700-8,ready_for_4field_apply_if_lucas_approves,title;link;imageLink;price,availability,age group;availability;gender;size,"{""title"": true, ""link"": true, ""imageLink"": true, ""price"": true}",False,availability still missing but intentionally excluded by Lucas option 1 / Tiny stock-truth policy,Direct Content API products.update may reject or keep disapproved rows because availability remains missing; executor is fail-fast and no apply is authorized by dry-run.,,
online:pt:BR:1182A678.700-9,1182A678.700-9,ready_for_4field_apply_if_lucas_approves,title;link;imageLink;price,availability,age group;availability;gender;size,"{""title"": true, ""link"": true, ""imageLink"": true, ""price"": true}",False,availability still missing but intentionally excluded by Lucas option 1 / Tiny stock-truth policy,Direct Content API products.update may reject or keep disapproved rows because availability remains missing; executor is fail-fast and no apply is authorized by dry-run.,,
online:pt:BR:1182A708.020-1,1182A708.020-1,ready_for_4field_apply_if_lucas_approves,title;link;imageLink;price,availability,age group;availability;gender;size,"{""title"": true, ""link"": true, ""imageLink"": true, ""price"": true}",False,availability still missing but intentionally excluded by Lucas option 1 / Tiny stock-truth policy,Direct Content API products.update may reject or keep disapproved rows because availability remains missing; executor is fail-fast and no apply is authorized by dry-run.,,
online:pt:BR:1182A708.020-10,1182A708.020-10,ready_for_4field_apply_if_lucas_approves,title;link;imageLink;price,availability,age group;availability;gender;size,"{""title"": true, ""link"": true, ""imageLink"": true, ""price"": true}",False,availability still missing but intentionally excluded by Lucas option 1 / Tiny stock-truth policy,Direct Content API products.update may reject or keep disapproved rows because availability remains missing; executor is fail-fast and no apply is authorized by dry-run.,,
online:pt:BR:1182A708.020-11,1182A708.020-11,ready_for_4field_apply_if_lucas_approves,title;link;imageLink;price,availability,age group;availability;gender;size,"{""title"": true, ""link"": true, ""imageLink"": true, ""price"": true}",False,availability still missing but intentionally excluded by Lucas option 1 / Tiny stock-truth policy,Direct Content API products.update may reject or keep disapproved rows because availability remains missing; executor is fail-fast and no apply is authorized by dry-run.,,
online:pt:BR:1182A708.020-12,1182A708.020-12,ready_for_4field_apply_if_lucas_approves,title;link;imageLink;price,availability,age group;availability;gender;size,"{""title"": true, ""link"": true, ""imageLink"": true, ""price"": true}",False,availability still missing but intentionally excluded by Lucas option 1 / Tiny stock-truth policy,Direct Content API products.update may reject or keep disapproved rows because availability remains missing; executor is fail-fast and no apply is authorized by dry-run.,,
online:pt:BR:1182A708.020-2,1182A708.020-2,ready_for_4field_apply_if_lucas_approves,title;link;imageLink;price,availability,age group;availability;gender;size,"{""title"": true, ""link"": true, ""imageLink"": true, ""price"": true}",False,availability still missing but intentionally excluded by Lucas option 1 / Tiny stock-truth policy,Direct Content API products.update may reject or keep disapproved rows because availability remains missing; executor is fail-fast and no apply is authorized by dry-run.,,
online:pt:BR:1182A708.020-3,1182A708.020-3,ready_for_4field_apply_if_lucas_approves,title;link;imageLink;price,availability,age group;availability;gender;size,"{""title"": true, ""link"": true, ""imageLink"": true, ""price"": true}",False,availability still missing but intentionally excluded by Lucas option 1 / Tiny stock-truth policy,Direct Content API products.update may reject or keep disapproved rows because availability remains missing; executor is fail-fast and no apply is authorized by dry-run.,,
online:pt:BR:1182A708.020-4,1182A708.020-4,ready_for_4field_apply_if_lucas_approves,title;link;imageLink;price,availability,availability,"{""title"": true, ""link"": true, ""imageLink"": true, ""price"": true}",False,availability still missing but intentionally excluded by Lucas option 1 / Tiny stock-truth policy,Direct Content API products.update may reject or keep disapproved rows because availability remains missing; executor is fail-fast and no apply is authorized by dry-run.,,
online:pt:BR:1182A708.020-5,1182A708.020-5,ready_for_4field_apply_if_lucas_approves,title;link;imageLink;price,availability,age group;availability;gender;size,"{""title"": true, ""link"": true, ""imageLink"": true, ""price"": true}",False,availability still missing but intentionally excluded by Lucas option 1 / Tiny stock-truth policy,Direct Content API products.update may reject or keep disapproved rows because availability remains missing; executor is fail-fast and no apply is authorized by dry-run.,,
online:pt:BR:1182A708.020-6,1182A708.020-6,ready_for_4field_apply_if_lucas_approves,title;link;imageLink;price,availability,availability,"{""title"": true, ""link"": true, ""imageLink"": true, ""price"": true}",False,availability still missing but intentionally excluded by Lucas option 1 / Tiny stock-truth policy,Direct Content API products.update may reject or keep disapproved rows because availability remains missing; executor is fail-fast and no apply is authorized by dry-run.,,
online:pt:BR:1182A708.020-7,1182A708.020-7,ready_for_4field_apply_if_lucas_approves,title;link;imageLink;price,availability,age group;availability;gender;size,"{""title"": true, ""link"": true, ""imageLink"": true, ""price"": true}",False,availability still missing but intentionally excluded by Lucas option 1 / Tiny stock-truth policy,Direct Content API products.update may reject or keep disapproved rows because availability remains missing; executor is fail-fast and no apply is authorized by dry-run.,,
online:pt:BR:1182A708.020-8,1182A708.020-8,ready_for_4field_apply_if_lucas_approves,title;link;imageLink;price,availability,age group;availability;gender;size,"{""title"": true, ""link"": true, ""imageLink"": true, ""price"": true}",False,availability still missing but intentionally excluded by Lucas option 1 / Tiny stock-truth policy,Direct Content API products.update may reject or keep disapproved rows because availability remains missing; executor is fail-fast and no apply is authorized by dry-run.,,
online:pt:BR:1182A708.020-9,1182A708.020-9,ready_for_4field_apply_if_lucas_approves,title;link;imageLink;price,availability,age group;availability;gender;size,"{""title"": true, ""link"": true, ""imageLink"": true, ""price"": true}",False,availability still missing but intentionally excluded by Lucas option 1 / Tiny stock-truth policy,Direct Content API products.update may reject or keep disapproved rows because availability remains missing; executor is fail-fast and no apply is authorized by dry-run.,,
online:pt:BR:1182A708.700-1,1182A708.700-1,ready_for_4field_apply_if_lucas_approves,title;link;imageLink;price,availability,age group;availability;gender;size,"{""title"": true, ""link"": true, ""imageLink"": true, ""price"": true}",False,availability still missing but intentionally excluded by Lucas option 1 / Tiny stock-truth policy,Direct Content API products.update may reject or keep disapproved rows because availability remains missing; executor is fail-fast and no apply is authorized by dry-run.,,
online:pt:BR:1182A708.700-10,1182A708.700-10,ready_for_4field_apply_if_lucas_approves,title;link;imageLink;price,availability,age group;availability;gender;size,"{""title"": true, ""link"": true, ""imageLink"": true, ""price"": true}",False,availability still missing but intentionally excluded by Lucas option 1 / Tiny stock-truth policy,Direct Content API products.update may reject or keep disapproved rows because availability remains missing; executor is fail-fast and no apply is authorized by dry-run.,,
online:pt:BR:1182A708.700-11,1182A708.700-11,ready_for_4field_apply_if_lucas_approves,title;link;imageLink;price,availability,age group;availability;gender;size,"{""title"": true, ""link"": true, ""imageLink"": true, ""price"": true}",False,availability still missing but intentionally excluded by Lucas option 1 / Tiny stock-truth policy,Direct Content API products.update may reject or keep disapproved rows because availability remains missing; executor is fail-fast and no apply is authorized by dry-run.,,
online:pt:BR:1182A708.700-12,1182A708.700-12,ready_for_4field_apply_if_lucas_approves,title;link;imageLink;price,availability,age group;availability;gender;size,"{""title"": true, ""link"": true, ""imageLink"": true, ""price"": true}",False,availability still missing but intentionally excluded by Lucas option 1 / Tiny stock-truth policy,Direct Content API products.update may reject or keep disapproved rows because availability remains missing; executor is fail-fast and no apply is authorized by dry-run.,,
online:pt:BR:1182A708.700-2,1182A708.700-2,ready_for_4field_apply_if_lucas_approves,title;link;imageLink;price,availability,age group;availability;gender;size,"{""title"": true, ""link"": true, ""imageLink"": true, ""price"": true}",False,availability still missing but intentionally excluded by Lucas option 1 / Tiny stock-truth policy,Direct Content API products.update may reject or keep disapproved rows because availability remains missing; executor is fail-fast and no apply is authorized by dry-run.,,
online:pt:BR:1182A708.700-3,1182A708.700-3,ready_for_4field_apply_if_lucas_approves,title;link;imageLink;price,availability,age group;availability;gender;size,"{""title"": true, ""link"": true, ""imageLink"": true, ""price"": true}",False,availability still missing but intentionally excluded by Lucas option 1 / Tiny stock-truth policy,Direct Content API products.update may reject or keep disapproved rows because availability remains missing; executor is fail-fast and no apply is authorized by dry-run.,,
online:pt:BR:1182A708.700-4,1182A708.700-4,ready_for_4field_apply_if_lucas_approves,title;link;imageLink;price,availability,availability,"{""title"": true, ""link"": true, ""imageLink"": true, ""price"": true}",False,availability still missing but intentionally excluded by Lucas option 1 / Tiny stock-truth policy,Direct Content API products.update may reject or keep disapproved rows because availability remains missing; executor is fail-fast and no apply is authorized by dry-run.,,
online:pt:BR:1182A708.700-5,1182A708.700-5,ready_for_4field_apply_if_lucas_approves,title;link;imageLink;price,availability,age group;availability;gender;size,"{""title"": true, ""link"": true, ""imageLink"": true, ""price"": true}",False,availability still missing but intentionally excluded by Lucas option 1 / Tiny stock-truth policy,Direct Content API products.update may reject or keep disapproved rows because availability remains missing; executor is fail-fast and no apply is authorized by dry-run.,,
online:pt:BR:1182A708.700-6,1182A708.700-6,ready_for_4field_apply_if_lucas_approves,title;link;imageLink;price,availability,age group;availability;gender;size,"{""title"": true, ""link"": true, ""imageLink"": true, ""price"": true}",False,availability still missing but intentionally excluded by Lucas option 1 / Tiny stock-truth policy,Direct Content API products.update may reject or keep disapproved rows because availability remains missing; executor is fail-fast and no apply is authorized by dry-run.,,
online:pt:BR:1182A708.700-7,1182A708.700-7,ready_for_4field_apply_if_lucas_approves,title;link;imageLink;price,availability,age group;availability;gender;size,"{""title"": true, ""link"": true, ""imageLink"": true, ""price"": true}",False,availability still missing but intentionally excluded by Lucas option 1 / Tiny stock-truth policy,Direct Content API products.update may reject or keep disapproved rows because availability remains missing; executor is fail-fast and no apply is authorized by dry-run.,,
online:pt:BR:1182A708.700-8,1182A708.700-8,ready_for_4field_apply_if_lucas_approves,title;link;imageLink;price,availability,age group;availability;gender;size,"{""title"": true, ""link"": true, ""imageLink"": true, ""price"": true}",False,availability still missing but intentionally excluded by Lucas option 1 / Tiny stock-truth policy,Direct Content API products.update may reject or keep disapproved rows because availability remains missing; executor is fail-fast and no apply is authorized by dry-run.,,
online:pt:BR:1182A708.700-9,1182A708.700-9,ready_for_4field_apply_if_lucas_approves,title;link;imageLink;price,availability,age group;availability;gender;size,"{""title"": true, ""link"": true, ""imageLink"": true, ""price"": true}",False,availability still missing but intentionally excluded by Lucas option 1 / Tiny stock-truth policy,Direct Content API products.update may reject or keep disapproved rows because availability remains missing; executor is fail-fast and no apply is authorized by dry-run.,,
online:pt:BR:1183A194.100-1,1183A194.100-1,ready_for_4field_apply_if_lucas_approves,title;link;imageLink;price,availability,age group;availability;gender;size,"{""title"": true, ""link"": true, ""imageLink"": true, ""price"": true}",False,availability still missing but intentionally excluded by Lucas option 1 / Tiny stock-truth policy,Direct Content API products.update may reject or keep disapproved rows because availability remains missing; executor is fail-fast and no apply is authorized by dry-run.,,
online:pt:BR:1183A194.100-10,1183A194.100-10,ready_for_4field_apply_if_lucas_approves,title;link;imageLink;price,availability,age group;availability;gender;size,"{""title"": true, ""link"": true, ""imageLink"": true, ""price"": true}",False,availability still missing but intentionally excluded by Lucas option 1 / Tiny stock-truth policy,Direct Content API products.update may reject or keep disapproved rows because availability remains missing; executor is fail-fast and no apply is authorized by dry-run.,,
online:pt:BR:1183A194.100-11,1183A194.100-11,ready_for_4field_apply_if_lucas_approves,title;link;imageLink;price,availability,age group;availability;gender;size,"{""title"": true, ""link"": true, ""imageLink"": true, ""price"": true}",False,availability still missing but intentionally excluded by Lucas option 1 / Tiny stock-truth policy,Direct Content API products.update may reject or keep disapproved rows because availability remains missing; executor is fail-fast and no apply is authorized by dry-run.,,
online:pt:BR:1183A194.100-2,1183A194.100-2,ready_for_4field_apply_if_lucas_approves,title;link;imageLink;price,availability,age group;availability;gender;size,"{""title"": true, ""link"": true, ""imageLink"": true, ""price"": true}",False,availability still missing but intentionally excluded by Lucas option 1 / Tiny stock-truth policy,Direct Content API products.update may reject or keep disapproved rows because availability remains missing; executor is fail-fast and no apply is authorized by dry-run.,,
online:pt:BR:1183A194.100-3,1183A194.100-3,ready_for_4field_apply_if_lucas_approves,title;link;imageLink;price,availability,age group;availability;gender;size,"{""title"": true, ""link"": true, ""imageLink"": true, ""price"": true}",False,availability still missing but intentionally excluded by Lucas option 1 / Tiny stock-truth policy,Direct Content API products.update may reject or keep disapproved rows because availability remains missing; executor is fail-fast and no apply is authorized by dry-run.,,
online:pt:BR:1183A194.100-4,1183A194.100-4,ready_for_4field_apply_if_lucas_approves,title;link;imageLink;price,availability,age group;availability;gender;size,"{""title"": true, ""link"": true, ""imageLink"": true, ""price"": true}",False,availability still missing but intentionally excluded by Lucas option 1 / Tiny stock-truth policy,Direct Content API products.update may reject or keep disapproved rows because availability remains missing; executor is fail-fast and no apply is authorized by dry-run.,,
