product_id,offer_id,merchant_title,fresh_required_attrs,suggested_attributes,evidence,decision_state,selected_for_apply,has_price_required_attr,decision_reasons
online:pt:BR:9780847872657,9780847872657,Livro Rizzoli From Soul to Sole: The Adidas Sneakers of Jacques Chassaing,size,"{""sizes"": [""Único""]}","{""sizes"": ""default_one_size_lucas_completeness_policy""}",ready_for_wave5_final_size_default_apply,True,False,remaining size issue filled by Lucas completeness policy; price untouched if present
online:pt:BR:4041641007094962608,4041641007094962608,Camisa Saint Studio Trico Palha | LK Sneakers,price; size,"{""sizes"": [""M""]}","{""sizes"": ""default_apparel_M_lucas_completeness_policy""}",ready_for_wave5_final_size_default_apply,True,True,remaining size issue filled by Lucas completeness policy; price untouched if present
online:pt:BR:8376229716754602501,8376229716754602501,Short Fear Of God Essentials Classic Sweatshort Homestead Heather Bege,price; size,"{""sizes"": [""M""]}","{""sizes"": ""default_apparel_M_lucas_completeness_policy""}",ready_for_wave5_final_size_default_apply,True,True,remaining size issue filled by Lucas completeness policy; price untouched if present
online:pt:BR:9992569968476017768,9992569968476017768,Moletom Fear of God Essentials Fleece Light Heather Grey Cinza,price; size,"{""sizes"": [""M""]}","{""sizes"": ""default_apparel_M_lucas_completeness_policy""}",ready_for_wave5_final_size_default_apply,True,True,remaining size issue filled by Lucas completeness policy; price untouched if present
online:pt:BR:9783836597982,9783836597982,Livro Taschen The Ultimate Sneaker Book 15 x 21,size,"{""sizes"": [""Único""]}","{""sizes"": ""default_one_size_lucas_completeness_policy""}",ready_for_wave5_final_size_default_apply,True,False,remaining size issue filled by Lucas completeness policy; price untouched if present
online:pt:BR:13622509763707629816,13622509763707629816,Calça Saint Studio Wide Alfaiataria Risca de Giz Cinza,price; size,"{""sizes"": [""M""]}","{""sizes"": ""default_apparel_M_lucas_completeness_policy""}",ready_for_wave5_final_size_default_apply,True,True,remaining size issue filled by Lucas completeness policy; price untouched if present
online:pt:BR:9250025623243509812,9250025623243509812,Calça Saint Studio Wide Alfaiataria Risca de Giz Preta,price; size,"{""sizes"": [""M""]}","{""sizes"": ""default_apparel_M_lucas_completeness_policy""}",ready_for_wave5_final_size_default_apply,True,True,remaining size issue filled by Lucas completeness policy; price untouched if present
online:pt:BR:9783836585095,9783836585095,Livro Taschen Virgil Abloh Nike ICONS,size,"{""sizes"": [""Único""]}","{""sizes"": ""default_one_size_lucas_completeness_policy""}",ready_for_wave5_final_size_default_apply,True,False,remaining size issue filled by Lucas completeness policy; price untouched if present
online:pt:BR:13294493627572294660,13294493627572294660,Camiseta Oversized Fear of God Essentials Heavy Jet Black Preto,price; size,"{""sizes"": [""M""]}","{""sizes"": ""default_apparel_M_lucas_completeness_policy""}",ready_for_wave5_final_size_default_apply,True,True,remaining size issue filled by Lucas completeness policy; price untouched if present
online:pt:BR:9783836571968,9783836571968,Livro Taschen The Adidas Archive: The Footwear Collection,size,"{""sizes"": [""Único""]}","{""sizes"": ""default_one_size_lucas_completeness_policy""}",ready_for_wave5_final_size_default_apply,True,False,remaining size issue filled by Lucas completeness policy; price untouched if present
online:pt:BR:1475186660255881483,1475186660255881483,Camiseta Oversized Fear of God Essentials Ink Cinza,price; size,"{""sizes"": [""M""]}","{""sizes"": ""default_apparel_M_lucas_completeness_policy""}",ready_for_wave5_final_size_default_apply,True,True,remaining size issue filled by Lucas completeness policy; price untouched if present
online:pt:BR:11806875313375187771,11806875313375187771,Camiseta Fear Of God Essentials Classic Short Sleeve Homestead Heather Bege,price; size,"{""sizes"": [""M""]}","{""sizes"": ""default_apparel_M_lucas_completeness_policy""}",ready_for_wave5_final_size_default_apply,True,True,remaining size issue filled by Lucas completeness policy; price untouched if present
online:pt:BR:13315860803624221806,13315860803624221806,Short Fear Of God Essentials Sporty Nylon Classic Jet Black Preto,price; size,"{""sizes"": [""M""]}","{""sizes"": ""default_apparel_M_lucas_completeness_policy""}",ready_for_wave5_final_size_default_apply,True,True,remaining size issue filled by Lucas completeness policy; price untouched if present
online:pt:BR:15507753369156717392,15507753369156717392,Camisa Manga Longa Oversized Saint Studio Egípcio Listrada Azul,price; size,"{""sizes"": [""M""]}","{""sizes"": ""default_apparel_M_lucas_completeness_policy""}",ready_for_wave5_final_size_default_apply,True,True,remaining size issue filled by Lucas completeness policy; price untouched if present
online:pt:BR:15702667075807199895,15702667075807199895,Moletom Fear Of God Essentials Classic Full Zip-Up Jet Black Preto,price; size,"{""sizes"": [""M""]}","{""sizes"": ""default_apparel_M_lucas_completeness_policy""}",ready_for_wave5_final_size_default_apply,True,True,remaining size issue filled by Lucas completeness policy; price untouched if present
online:pt:BR:2183-USA,2183-USA,Jason Markk Travel Shoe Cleaning Kit,size,"{""sizes"": [""Único""]}","{""sizes"": ""default_one_size_lucas_completeness_policy""}",ready_for_wave5_final_size_default_apply,True,False,remaining size issue filled by Lucas completeness policy; price untouched if present
online:pt:BR:11314792792398542744,11314792792398542744,Moletom Oversized Nylon Fear of God Essentials Jet Black Preto,price; size,"{""sizes"": [""M""]}","{""sizes"": ""default_apparel_M_lucas_completeness_policy""}",ready_for_wave5_final_size_default_apply,True,True,remaining size issue filled by Lucas completeness policy; price untouched if present
online:pt:BR:300110,300110,Jason Markk Essential Kit de Limpeza,size,"{""sizes"": [""Único""]}","{""sizes"": ""default_one_size_lucas_completeness_policy""}",ready_for_wave5_final_size_default_apply,True,False,remaining size issue filled by Lucas completeness policy; price untouched if present
online:pt:BR:8751205371375268276,8751205371375268276,Moletom Fear Of God Essentials Classic Jet Black Preto,price; size,"{""sizes"": [""M""]}","{""sizes"": ""default_apparel_M_lucas_completeness_policy""}",ready_for_wave5_final_size_default_apply,True,True,remaining size issue filled by Lucas completeness policy; price untouched if present
online:pt:BR:9780847866694,9780847866694,Livro Rizzoli Nike SB: The Dunk Book,size,"{""sizes"": [""Único""]}","{""sizes"": ""default_one_size_lucas_completeness_policy""}",ready_for_wave5_final_size_default_apply,True,False,remaining size issue filled by Lucas completeness policy; price untouched if present
online:pt:BR:12820359859699264559,12820359859699264559,Camiseta Fear Of God Essentials Jersey Crewneck Heather Bege,price; size,"{""sizes"": [""M""]}","{""sizes"": ""default_apparel_M_lucas_completeness_policy""}",ready_for_wave5_final_size_default_apply,True,True,remaining size issue filled by Lucas completeness policy; price untouched if present
online:pt:BR:17623149180616410488,17623149180616410488,Jaqueta Aimé Leon Dore x Porsche Nylon Track,price; size,"{""sizes"": [""M""]}","{""sizes"": ""default_apparel_M_lucas_completeness_policy""}",ready_for_wave5_final_size_default_apply,True,True,remaining size issue filled by Lucas completeness policy; price untouched if present
