product_id,offer_id,merchant_title,shopify_variant_title,current_sizes,fresh_missing_required_attrs,missing_attributes_from_packet,suggested_sizes,decision_state,selected_for_apply,write_scope_if_approved,rollback_required_before_write
online:pt:BR:9783848002399,9783848002399,Livro H. F. Ullmann Sapatos,Default Title,Default Title,,size,Default Title,skipped_already_corrected_size_present,False,"sizes only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:AIME109,AIME109,Boné Aimé Leon Dore Porsche Nylon Logo Jet Black Preto,Default Title,Default Title,,size,Default Title,skipped_already_corrected_size_present,False,"sizes only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:AIME123,AIME123,Boné Aimé Leon Dore x Porsche Colorblock Logo Pristine Off White,Default Title,Default Title,,size,Default Title,skipped_already_corrected_size_present,False,"sizes only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:Aime5,Aime5,Boné 6 Panel Aimé Leon Dore Cycling Logo Azul,Default Title,Default Title,,size,Default Title,skipped_already_corrected_size_present,False,"sizes only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:DM4657004,DM4657004,Tênis Nike Air Jordan 1 Low Crater Grey University Blue Preto,Default Title,Default Title,,size,Default Title,skipped_already_corrected_size_present,False,"sizes only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:DN4045001,DN4045001,Tênis Nike Air Jordan 1 Mid SE Light Iron Ore Cinza,Default Title,Default Title,,size,Default Title,skipped_already_corrected_size_present,False,"sizes only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:JAC2C1SUN,JAC2C1SUN,Óculos de Sol Jacquemus JAC2C1SUN Preto,Default Title,Default Title,,size,Default Title,skipped_already_corrected_size_present,False,"sizes only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:JAC2C2SUN,JAC2C2SUN,Óculos de Sol Jacquemus JAC2C2SUN Bege,Default Title,Default Title,,size,Default Title,skipped_already_corrected_size_present,False,"sizes only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:JAC4C1SUN,JAC4C1SUN,Óculos de Sol Jacquemus JAC4C1SUN Preto,Default Title,Default Title,,size,Default Title,skipped_already_corrected_size_present,False,"sizes only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:JAC4C2SUN,JAC4C2SUN,Óculos de Sol Jacquemus JAC4C2SUN Animal Print,Default Title,Default Title,,size,Default Title,skipped_already_corrected_size_present,False,"sizes only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:JAC5C2SUN,JAC5C2SUN,Óculos de Sol Jacquemus JAC5C2SUN Branco,Default Title,Default Title,,size,Default Title,skipped_already_corrected_size_present,False,"sizes only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:JM2,JM2,Jason Markk Ready to Use Foam Cleaner,Default Title,Default Title,,size,Default Title,skipped_already_corrected_size_present,False,"sizes only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:JM4,JM4,Jason Markk Refresh Spray,Default Title,Default Title,,size,Default Title,skipped_already_corrected_size_present,False,"sizes only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:JM5,JM5,Jason Markk Delicates Cleaning Brush,Default Title,Default Title,,size,Default Title,skipped_already_corrected_size_present,False,"sizes only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:JM6,JM6,Jason Markk Durables Cleaning Brush,Default Title,Default Title,,size,Default Title,skipped_already_corrected_size_present,False,"sizes only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:JM8,JM8,Kit Jason Markk Espuma Quick Clean,Default Title,,size,size,Default Title,ready_for_onda1_size_apply_if_lucas_approves,True,"sizes only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:MTB1,MTB1,"MEDICOM TOY - Bearbrick Jean-Michel Basquiat ""Special"" 100% & 400% Set Toy Art Multi-Color",Default Title,Default Title,,size,Default Title,skipped_already_corrected_size_present,False,"sizes only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:MTB10,MTB10,MEDICOM TOY - Bearbrick Death Stranding 1000% Toy Art Multi-Color,Default Title,Default Title,,size,Default Title,skipped_already_corrected_size_present,False,"sizes only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:MTB11,MTB11,MEDICOM TOY - Bearbrick Keith Haring #8 1000% Toy Art Multi-Color,Default Title,Default Title,,size,Default Title,skipped_already_corrected_size_present,False,"sizes only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:MTB12,MTB12,MEDICOM TOY - Bearbrick Breaking Bad Pink Bear 1000% Toy Art Multi-Color,Default Title,Default Title,,size,Default Title,skipped_already_corrected_size_present,False,"sizes only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:MTB13,MTB13,MEDICOM TOY - Bearbrick Jean-Michel Basquiat #7 1000% Toy Art Multi-Color,Default Title,Default Title,,size,Default Title,skipped_already_corrected_size_present,False,"sizes only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:MTB14,MTB14,MEDICOM TOY - Bearbrick Jackson Pollock Studio (Splash) 1000% Toy Art Multi-Color,Default Title,Default Title,,size,Default Title,skipped_already_corrected_size_present,False,"sizes only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:MTB15,MTB15,MEDICOM TOY - Bearbrick Leonardo De Vinci Mona Lisa 1000% Toy Art Multi-Color,Default Title,Default Title,,size,Default Title,skipped_already_corrected_size_present,False,"sizes only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:MTB2,MTB2,"MEDICOM TOY - Bearbrick Jean-Michel Basquiat ""Special"" 1000% Toy Art Multi-Color",Default Title,Default Title,,size,Default Title,skipped_already_corrected_size_present,False,"sizes only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:MTB3,MTB3,MEDICOM TOY - Bearbrick x S'YTE x Junji Ito Uzumaki 1000% Toy Art Multi-Color,Default Title,Default Title,,size,Default Title,skipped_already_corrected_size_present,False,"sizes only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:MTB4,MTB4,MEDICOM TOY - Bearbrick x S'YTE x Junji Ito Tomie 1000% Toy Art Multi-Color,Default Title,Default Title,,size,Default Title,skipped_already_corrected_size_present,False,"sizes only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:MTB5,MTB5,MEDICOM TOY - Bearbrick Jean-Michel Basquiat #10 1000% Toy Art Multi-Color,Default Title,Default Title,,size,Default Title,skipped_already_corrected_size_present,False,"sizes only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:MTB6,MTB6,MEDICOM TOY - Bearbrick ROBERT INDIANA x fragmentdesign 100% & 400% Set Toy Art Multi-Color,Default Title,Default Title,,size,Default Title,skipped_already_corrected_size_present,False,"sizes only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:MTB7,MTB7,MEDICOM TOY - Bearbrick ROBERT INDIANA x fragmentdesign 100% & 400% Set Toy Art Multi-Color,Default Title,Default Title,,size,Default Title,skipped_already_corrected_size_present,False,"sizes only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:MTB8,MTB8,"MEDICOM TOY - Bearbrick Katsushika Hokusai (Thirty-six Views of Tomitake, Fine Wind, Clear Morning) 1000% Toy Art Multi-",Default Title,Default Title,,size,Default Title,skipped_already_corrected_size_present,False,"sizes only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:MTB9,MTB9,MEDICOM TOY - BEARBRICK The Batman 100% e 400% Toy Art Multi-Color,Default Title,Default Title,,size,Default Title,skipped_already_corrected_size_present,False,"sizes only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:PERI034-1007,PERI034-1007,Óculos de Sol Palm Angels PERI034-1007 Preto,Default Title,Default Title,,size,Default Title,skipped_already_corrected_size_present,False,"sizes only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:PERI037-0107,PERI037-0107,Óculos de Sol Palm Angels PERI037-0107 Branco,Default Title,Default Title,,size,Default Title,skipped_already_corrected_size_present,False,"sizes only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:PERI049-1007,PERI049-1007,Óculos de Sol Palm Angels PERI049-1007 Preto,Default Title,Default Title,,size,Default Title,skipped_already_corrected_size_present,False,"sizes only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:PERI056-1764,PERI056-1764,Óculos de Sol Palm Angels PERI056-1764 Bege,Default Title,Default Title,,size,Default Title,skipped_already_corrected_size_present,False,"sizes only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:RH11,RH11,Kit Rhode The Oversized Black Preto,Default Title,Default Title,,size,Default Title,skipped_already_corrected_size_present,False,"sizes only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:RH13,RH13,Bolsa Rhode Oversized Bubble Bag Black Preto,Default Title,Default Title,,size,Default Title,skipped_already_corrected_size_present,False,"sizes only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:RH19,RH19,Lip Tint Rhode Scented Peptide Ribbon,Default Title,Default Title,,size,Default Title,skipped_already_corrected_size_present,False,"sizes only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:RH21,RH21,Lip Tint Rhode Scented Peptide Raspberry Jelly,Default Title,Default Title,,size,Default Title,skipped_already_corrected_size_present,False,"sizes only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:RH25-1,RH25-1,Rhode Peptide Eye Prep,Rhode Logo,Rhode Logo,,size,Rhode Logo,skipped_already_corrected_size_present,False,"sizes only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:RH25-2,RH25-2,Rhode Peptide Eye Prep,R Icon,R Icon,,size,R Icon,skipped_already_corrected_size_present,False,"sizes only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:Rep22,Rep22,Boné Represent Clo Micro Owners Club Jet Black Preto,Default Title,Default Title,,size,Default Title,skipped_already_corrected_size_present,False,"sizes only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:Rep23,Rep23,Boné Represent Clo Owners Club Script Cap Black Preto,Default Title,Default Title,,size,Default Title,skipped_already_corrected_size_present,False,"sizes only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:SSB-3507,SSB-3507,MEDICOM TOY - Bearbrick Series 49 100% Toy Art,Default Title,Default Title,,size,Default Title,skipped_already_corrected_size_present,False,"sizes only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:ST42-1,ST42-1,Bolsa Saint Studio Tote Museo,Preto,Preto,,size,Preto,skipped_already_corrected_size_present,False,"sizes only, exact online Merchant product resource, products.insert upsert",True
online:pt:BR:ST42-2,ST42-2,Bolsa Saint Studio Tote Museo,Marrom,Marrom,,size,Marrom,skipped_already_corrected_size_present,False,"sizes only, exact online Merchant product resource, products.insert upsert",True
